mass bindingEnergy
1 0.0
2 1.112
3 2.827
3 2.573
4 1.401
4 7.074
4 1.155
5 1.337
5 5.48
5 5.266
6 0.964
6 4.878
6 5.332
6 4.487
7 4.119
7 5.606
7 5.371
7 3.531
8 3.926
8 5.16
8 7.062
8 4.717
8 3.098
9 3.349
9 5.038
9 6.463
9 6.257
9 4.337
10 3.034
10 4.532
10 6.498
10 6.475
10 6.032
10 3.644
11 4.149
11 5.953
11 6.928
11 6.676
11 5.364
12 5.721
12 6.631
12 7.68
12 6.17
12 4.879
13 5.273
13 6.496
13 7.47
13 7.239
13 5.812
14 4.994
14 6.102
14 7.52
14 7.476
14 7.052
15 5.879
15 7.1
15 7.699
15 7.464
15 6.483
16 5.509
16 6.922
16 7.374
16 7.976
16 6.964
16 6.083
17 5.267
17 6.558
17 7.286
17 7.751
17 7.542
17 6.643
18 6.426
18 7.039
18 7.767
18 7.632
18 7.341
18 6.249
19 6.118
19 6.948
19 7.566
19 7.779
19 7.567
19 6.938
19 5.838
20 5.959
20 6.709
20 7.569
20 7.72
20 8.032
20 7.299
20 6.723
21 6.608
21 7.389
21 7.738
21 7.972
21 7.766
21 7.105
22 6.366
22 7.365
22 7.624
22 8.08
22 7.916
22 7.663
23 7.164
23 7.62
23 7.955
23 8.111
23 7.901
23 7.335
24 7.016
24 7.463
24 7.993
24 8.064
24 8.261
24 7.65
24 7.167
25 7.339
25 7.843
25 8.101
25 8.224
25 8.021
25 7.48
26 7.098
26 7.754
26 8.004
26 8.334
26 8.15
26 7.925
27 6.887
27 7.52
27 7.957
27 8.264
27 8.332
27 8.124
27 7.663
28 7.39
28 7.799
28 8.272
28 8.31
28 8.448
28 7.908
28 7.479
29 7.179
29 7.683
29 8.114
29 8.349
29 8.449
29 8.251
29 7.749
30 7.041
30 7.506
30 8.055
30 8.261
30 8.521
30 8.354
30 8.123
31 7.386
31 7.872
31 8.226
31 8.458
31 8.481
31 8.282
31 7.87
32 7.207
32 7.808
32 8.099
32 8.482
